City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
biloxi,US,1554240666,1,24,30.4,-88.89,73.4,6.93
yerbogachen,RU,1554240824,48,78,61.28,108.01,23.95,6.42
mackay,CA,1554238800,40,44,53.65,-115.58,44.6,4.7
manicore,BR,1554235200,40,56,-5.81,-61.3,93.2,5.82
high rock,BS,1554238800,40,78,26.63,-78.28,78.8,12.75
vaini,IN,1554240737,0,92,15.34,74.49,66.43,2.51
mount pleasant,US,1554240210,1,36,33.16,-94.97,71.01,5.82
ahtopol,BG,1554240698,0,69,42.1,27.94,42.01,6.93
hilo,US,1554240570,90,88,19.71,-155.08,73,11.41
carnarvon,ZA,1554240626,0,45,-30.97,22.13,51.13,2.62
bowen,AU,1554240541,24,78,-20.01,148.25,77,14.99
lapua,FI,1554240796,0,47,62.97,23.01,37.99,6.93
hermanus,ZA,1554240647,0,81,-34.42,19.24,62.01,11.99
east london,ZA,1554240743,88,100,-33.02,27.91,68.59,17.94
rio rancho,US,1554240825,75,20,35.27,-106.63,70,11.41
goderich,CA,1554240812,92,62,43.74,-81.71,46.99,17
viedma,AR,1554240829,0,36,-40.81,-62.99,70.39,15.7
islahiye,TR,1554240719,75,93,37.03,36.63,55.99,1.95
mahebourg,MU,1554240541,40,88,-20.41,57.7,77,7.31
sinnamary,GF,1554240830,92,91,5.38,-52.96,81.1,12.01
san patricio,PY,1554240830,92,95,-26.98,-56.83,72.28,4.07
binga,ZW,1554240830,0,72,-17.62,27.34,75.52,3.96
cockburn town,TC,1554240702,0,100,21.46,-71.14,78.4,9.44
ladario,PT,1554240817,0,85,40.7,-7.74,54,5.99
tuktoyaktuk,CA,1554238800,20,70,69.44,-133.03,-2.21,10.29
sechura,PE,1554240831,0,68,-5.56,-80.82,80.02,12.46
necochea,AR,1554240490,0,25,-38.55,-58.74,69.01,5.01
kovur,IN,1554240832,0,76,14.5,79.99,75.61,6.76
kochevo,BG,1554238800,20,52,42.1,24.92,44.6,8.05
berlevag,NO,1554238200,75,100,70.86,29.09,32,6.93
flin flon,CA,1554238800,75,48,54.77,-101.88,21.2,17.22
laguna,MX,1554237720,90,28,27.52,-110.01,84.2,6.93
port hawkesbury,CA,1554240605,1,35,45.62,-61.36,46,16.11
qaanaaq,GL,1554240712,0,84,77.48,-69.36,-0.45,6.98
naifaru,MV,1554240834,80,100,5.44,73.37,83.26,2.73
pevek,RU,1554240834,12,82,69.7,170.27,24.04,14.25
pemba,MZ,1554235200,20,78,-12.97,40.52,80.6,14.99
garden city,US,1554240588,1,56,40.73,-73.63,46.99,11.41
albany,US,1554240438,75,27,42.65,-73.75,51.8,16.11
new norfolk,AU,1554240616,0,45,-42.78,147.06,64.4,13.87
galveston,US,1554240828,75,37,40.58,-86.19,57.99,18.34
deer lake,CA,1554238800,75,55,49.18,-57.43,33.8,23.04
san rafael,AR,1554240833,0,26,-34.61,-68.33,78.67,8.43
santa isabel do rio negro,BR,1554240838,24,84,-0.41,-65.02,83.62,3.62
nikolskoye,RU,1554240635,0,74,59.7,30.79,32,4.47
tasiilaq,GL,1554238200,92,79,65.61,-37.64,23,20.8
lasa,CY,1554240690,20,87,34.92,32.53,55.4,8.05
maniitsoq,GL,1554240840,92,94,65.42,-52.9,32.41,6.98
sibiti,CG,1554240840,36,94,-3.69,13.35,74.98,1.72
mpanda,TZ,1554240840,8,92,-6.34,31.07,67.87,4.85
mahbubabad,IN,1554240841,0,72,17.62,80.02,77.41,6.64
puerto ayora,EC,1554240687,20,74,-0.74,-90.35,84.2,11.41
lorengau,PG,1554240841,80,98,-2.02,147.27,82.72,10.56
souris,CA,1554240729,75,38,46.36,-62.25,41,17.22
lavrentiya,RU,1554240842,32,100,65.58,-170.99,27.37,8.66
klaeng,TH,1554240834,8,78,12.78,101.65,86,4.52
los llanos de aridane,ES,1554239402,20,67,28.66,-17.92,62.6,10.29
jamestown,AU,1554240586,0,78,-33.21,138.6,46.27,5.19
grindavik,IS,1554240115,0,54,63.84,-22.43,30.2,5.82
kruisfontein,ZA,1554240843,44,73,-34,24.73,62.47,13.13
maputo,MZ,1554238800,90,94,-25.97,32.57,68,11.41
prescott valley,US,1554240668,1,16,34.61,-112.32,73.99,17.22
whitehorse,CA,1554240728,40,31,60.72,-135.06,50,5.82
suicheng,CN,1554240845,44,96,33.9,117.93,46,12.01
marsh harbour,BS,1554240730,0,92,26.54,-77.06,78.67,12.57
hit,IQ,1554240845,20,77,33.64,42.83,51.13,3.51
cabo san lucas,MX,1554239841,75,39,22.89,-109.91,89.01,11.41
fare,PF,1554240846,0,97,-16.7,-151.02,84.97,9.66
blagoyevo,RU,1554240846,88,82,63.37,47.92,30.97,5.64
brigantine,US,1554240792,90,81,39.41,-74.36,46.99,12.75
torbay,CA,1554240515,20,55,47.66,-52.73,36,26.4
ust-kuyga,RU,1554240847,0,45,70,135.55,-1.71,6.76
saldanha,PT,1554240847,0,47,41.42,-6.55,52.75,8.99
lagos,NG,1554235200,20,89,6.46,3.39,84.2,6.93
castro,CL,1554238800,20,67,-42.48,-73.76,59,5.82
port alfred,ZA,1554240569,24,87,-33.59,26.89,63,1.99
tessalit,ML,1554240849,0,23,20.2,1.01,77.68,9.55
washougal,US,1554240609,90,63,45.58,-122.35,62.01,3.36
riyadh,SA,1554238800,0,42,24.63,46.72,66.2,4.7
qasigiannguit,GL,1554238200,88,69,68.82,-51.19,37.4,19.46
bluff,AU,1554240708,0,80,-23.58,149.07,64.9,11.45
ballina,IE,1554240492,48,82,54.11,-9.15,41,11.01
srednekolymsk,RU,1554240765,48,87,67.46,153.71,10.27,2.62
khorixas,NA,1554240850,48,69,-20.37,14.96,71.29,0.72
yar-sale,RU,1554240851,0,77,66.83,70.83,17.83,15.03
arraial do cabo,BR,1554238800,0,69,-22.97,-42.02,78.8,3.36
antalaha,MG,1554240756,68,87,-14.9,50.28,79.57,6.98
hualmay,PE,1554240682,24,72,-11.1,-77.61,74.62,4.29
longyearbyen,NO,1554238200,75,77,78.22,15.63,6.8,2.24
avarua,CK,1554238800,0,69,-21.21,-159.78,82.4,12.75
aksum,ET,1554240856,0,57,14.12,38.72,54.1,2.39
bonavista,CA,1554240682,48,70,48.65,-53.11,34,18.99
georgetown,GY,1554238800,20,69,6.8,-58.16,87.8,13.87
lahaina,US,1554240828,20,61,20.87,-156.68,82.4,19.46
marzuq,YE,1554240858,0,88,14.4,46.47,54.1,2.51
dingle,PH,1554240858,32,79,11,122.67,75.79,10.89
saskylakh,RU,1554240707,92,84,71.97,114.09,22.51,3.4
emerald,AU,1554240256,0,82,-23.53,148.16,66.2,11.41
manzhouli,CN,1554240859,24,38,49.6,117.43,27.82,14.03
thompson,CA,1554238800,90,56,55.74,-97.86,15.8,12.75
campos novos,BR,1554240859,44,73,-27.4,-51.22,73.81,5.41
xichang,CN,1554240860,80,59,27.88,102.25,44.47,1.61
bouca,CF,1554240860,36,63,6.51,18.28,80.02,8.88
palaikastron,GR,1554240427,0,70,35.2,26.25,55.99,5.01
grand gaube,MU,1554240541,40,88,-20.01,57.66,77,9.44
lompoc,US,1554240816,20,34,34.64,-120.46,68,9.17
airai,TL,1554240741,36,85,-8.93,125.41,68.32,1.16
souillac,FR,1554240719,92,87,45.6,-0.6,48.2,9.17
el rosario,MX,1554240705,75,57,22.99,-105.86,80.6,9.17
doha,QA,1554238800,20,64,25.29,51.53,69.8,5.82
santana do paraiso,BR,1554238800,20,83,-19.36,-42.57,78.8,2.24
iqaluit,CA,1554240726,75,71,63.75,-68.52,5,26.4
semnan,IR,1554235200,0,57,35.58,53.39,50,2.24
aykhal,RU,1554240863,88,85,65.95,111.51,26.65,6.64
victoria,BN,1554238800,75,94,5.28,115.24,78.8,3.18
nishihara,JP,1554240628,1,59,35.74,139.53,44.01,3.36
turbat,PK,1554240864,32,30,26,63.05,80.65,5.41
anju,KP,1554240864,0,77,39.62,125.66,28.45,3.29
cidreira,BR,1554240720,0,74,-30.17,-50.22,79.48,5.3
saint-francois,FR,1554240676,0,76,46.42,3.91,51.01,5.82
columbia,US,1554240750,1,44,38.95,-92.33,64,9.17
kapaa,US,1554240504,75,65,22.08,-159.32,80.6,13.87
ilulissat,GL,1554238200,88,69,69.22,-51.1,37.4,19.46
bredasdorp,ZA,1554239780,12,72,-34.53,20.04,64.4,14.99
tautira,PF,1554240747,75,74,-17.73,-149.15,82.4,16.11
bilma,NE,1554240770,0,27,18.69,12.92,73,7.65
clyde river,CA,1554240000,90,91,70.47,-68.59,1.4,32.21
hasaki,JP,1554240628,20,100,35.73,140.83,33.01,2.24
jamkhed,IN,1554240867,48,25,18.74,75.31,83.08,9.55
avera,US,1554240847,1,62,33.19,-82.53,66,5.82
leningradskiy,RU,1554240704,64,98,69.38,178.42,16.57,16.37
paamiut,GL,1554240745,8,91,61.99,-49.67,33.58,47.69
svetlogorsk,RU,1554238800,75,93,53.14,59.15,35.6,15.66
ahuimanu,US,1554240704,20,69,21.44,-157.84,79,12.75
gat,SN,1554238800,0,42,14.69,-16.54,80.6,9.17
rio gallegos,AR,1554238800,40,44,-51.62,-69.22,60.8,24.16
oranjemund,ZA,1554240869,0,91,-28.55,16.43,59.32,5.41
salalah,OM,1554238200,20,74,17.01,54.1,80.6,4.7
liuhe,CN,1554240869,0,67,42.28,125.73,10.9,3.62
verkh-usugli,RU,1554240870,0,40,52.7,115.17,17.2,4.52
broken hill,AU,1554238800,0,51,-31.97,141.45,60.8,8.05
jingdezhen,CN,1554240870,92,94,29.29,117.2,50.5,6.76
rawson,AR,1554240708,0,22,-43.3,-65.11,76.15,8.99
leh,IN,1554240871,56,85,34.16,77.58,-2.25,1.16
praia,BR,1554238800,20,57,-20.25,-43.81,78.8,3.36
eureka,US,1554240731,90,87,40.8,-124.16,60.01,4.7
jinxiang,CN,1554240872,24,65,35.07,116.31,45.82,10.33
araouane,ML,1554240872,0,24,18.9,-3.53,85.78,10.45
bathsheba,BB,1554238800,40,65,13.22,-59.52,80.6,20.8
ancud,CL,1554238800,20,67,-41.87,-73.83,59,5.82
martvili,GE,1554238800,90,93,42.41,42.38,44.6,8.05
zambezi,ZM,1554240873,0,54,-13.55,23.12,70.48,8.77
libreville,GA,1554238800,20,88,0.39,9.45,78.8,10.29
port blair,IN,1554240762,0,100,11.67,92.75,83.98,2.95
buala,SB,1554240874,92,100,-8.15,159.59,79.12,5.75
tomatlan,MX,1554240874,0,52,19.93,-105.25,83.44,4.41
abalak,NE,1554240875,0,22,15.46,6.28,83.98,9.22
puerto baquerizo moreno,EC,1554238800,75,94,-0.9,-89.6,80.6,9.17
den helder,NL,1554240605,75,93,52.96,4.76,48.2,13.87
coquimbo,CL,1554238800,0,72,-29.95,-71.34,64.4,8.05
djenne,ML,1554240876,20,59,13.91,-4.55,82.81,3.62
naze,NG,1554235200,75,83,5.43,7.07,84.2,3.36
parintins,BR,1554240876,36,59,-2.63,-56.73,90.55,3.4
san luis,AR,1554240634,0,36,-33.3,-66.34,86.23,9.66
santa catarina de tepehuanes,MX,1554240877,20,14,25.34,-105.72,72.73,9.22
yongan,CN,1554240877,0,71,39.7,113.69,18.91,2.73
mbanza-ngungu,CD,1554240877,56,92,-5.25,14.87,72.28,2.17
bethel,US,1554238560,1,77,60.79,-161.76,41,9.17
saryozek,KZ,1554240878,0,88,44.36,77.98,32.5,2.84
parrita,CR,1554240714,0,47,9.52,-84.33,86,18.34
hami,CN,1554240737,8,52,42.84,93.51,47.62,4.41
ericeira,PT,1554240877,0,76,38.96,-9.42,57.99,14.99
mar del plata,AR,1554240714,0,31,-46.43,-67.52,72.37,14.92
ust-maya,RU,1554240879,44,76,60.42,134.54,10.72,2.62
severo-kurilsk,RU,1554240880,88,97,50.68,156.12,31.33,18.39
fairbanks,US,1554240720,90,60,64.84,-147.72,41,4.74
kisangani,CD,1554240880,24,86,0.52,25.21,79.3,2.28
la marque,US,1554240620,1,28,29.37,-94.97,73,9.17
port augusta,AU,1554238800,0,46,-32.49,137.76,53.6,8.05
hithadhoo,MV,1554240881,32,100,-0.6,73.08,84.16,8.21
arkadelphia,US,1554240761,1,34,34.12,-93.05,70,5.82
tigil,RU,1554240732,68,88,57.8,158.67,30.52,11.34
port macquarie,AU,1554240605,80,100,-31.43,152.91,61,5.82
aswan,EG,1554235200,0,15,24.09,32.9,71.6,5.82
nanning,CN,1554238800,90,100,22.83,108.3,68,4.47
kirkwall,GB,1554240639,92,93,58.98,-2.96,41,29.97
livingstonia,MW,1554240883,88,100,-10.61,34.11,69.76,2.73
itoman,JP,1554240751,75,55,26.12,127.67,64.4,8.05
ulaangom,MN,1554240884,0,57,49.98,92.07,15.13,2.17
erenhot,CN,1554240884,0,66,43.65,111.97,21.52,3.51
beloha,MG,1554240885,0,92,-25.17,45.06,68.14,5.41
roald,NO,1554240719,44,69,62.58,6.12,41,5.82
grand island,US,1554240502,1,37,40.92,-98.34,59,6.93
obo,CF,1554240885,0,74,5.39,26.49,71.02,4.74
fortuna,ES,1554240701,75,82,38.18,-1.13,63,8.05
oktyabrskiy,RU,1554240601,0,59,55.61,37.97,34,2.62
talnakh,RU,1554240886,64,74,69.49,88.39,17.83,3.18
tokoroa,NZ,1554240657,56,72,-38.22,175.87,64.99,5.99
nattam,IN,1554238800,20,88,12.7,79.97,82.4,3.36
yatou,CM,1554238800,40,94,3.63,9.81,82.4,1.12
arona,IT,1554240886,75,44,45.76,8.56,62.6,4.7
sola,NO,1554240702,0,52,58.89,5.65,46.4,18.34
mumford,GH,1554240888,44,81,5.26,-0.76,82.72,7.2
takoradi,GH,1554240888,8,97,4.89,-1.75,83.35,6.31
luderitz,NA,1554240770,0,87,-26.65,15.16,57.88,8.77
kaitangata,NZ,1554240843,0,76,-46.28,169.85,52,5.99
along,IN,1554240889,92,94,28.17,94.8,53.65,1.72
mudon,MM,1554240889,0,90,16.26,97.73,73.18,1.95
galati,RO,1554238800,8,50,45.45,28.05,34,5.82
chuy,UY,1554240742,8,77,-33.69,-53.46,78.85,5.08
anadyr,RU,1554240752,20,85,64.73,177.51,24.8,8.95
sao filipe,CV,1554240724,0,97,14.9,-24.5,70.75,11.79
pisco,PE,1554238800,20,30,-13.71,-76.2,71.6,8.05
zeerust,ZA,1554240891,32,92,-25.54,26.07,59.77,6.98
alice springs,AU,1554238800,0,37,-23.7,133.88,50,5.82
urozhaynoye,RU,1554240891,8,84,47.7,142.03,20.62,5.97
mayo,CA,1554238800,90,45,63.59,-135.9,42.8,13.87
ribeira grande,PT,1554235200,40,71,38.52,-28.7,57.2,12.75
trimbak,IN,1554240892,0,88,19.93,73.53,59.32,2.62
saint-pierre,FR,1554240880,90,87,48.95,4.24,46.4,2.24
santa cruz de la palma,ES,1554239402,20,67,28.68,-17.76,62.6,10.29
meiringen,CH,1554240881,75,43,46.73,8.19,57.2,8.05
mendi,ET,1554240894,0,33,9.8,35.1,69.76,5.75
matagami,NG,1554240895,0,30,9.67,8.4,74.98,5.64
kodiak,US,1554240637,1,40,39.95,-94.76,55,13.87
deputatskiy,RU,1554240896,32,55,69.3,139.9,-6.48,2.73
buraydah,SA,1554238800,0,45,26.33,43.97,66.2,13.87
tiksi,RU,1554240745,44,78,71.64,128.87,6.4,2.73
palmer,AU,1554240861,0,58,-34.85,139.16,68,4.74
le marin,MQ,1554238800,40,65,14.47,-60.87,80.6,19.46
ambovombe,MG,1554240897,8,99,-25.18,46.09,73.27,7.09
touros,BR,1554238800,20,83,-5.2,-35.46,82.4,8.05
youkounkoun,GN,1554240898,68,43,12.53,-13.12,89.65,3.29
yumen,CN,1554240769,0,64,40.29,97.04,31.78,4.18
victoria point,AU,1554240850,20,93,-27.58,153.3,70,10.29
hofn,IS,1554240613,0,100,64.25,-15.21,30.52,17.72
mazara del vallo,IT,1554240718,20,93,37.65,12.59,60.01,5.82
ejido,VE,1554240899,92,100,8.55,-71.24,60.94,1.95
vardo,US,1554240703,75,29,39.62,-77.74,48.99,4.7
kholodnyy,RU,1554240900,48,71,62.72,147.95,3.97,2.62
makakilo city,US,1554240704,75,61,21.35,-158.09,79,11.41
norman wells,CA,1554238800,75,61,65.28,-126.83,12.2,14.99
santa isabel,CO,1554238800,75,100,4.71,-75.1,71.6,3.36
ipixuna,BR,1554238800,75,78,-1.76,-48.8,80.6,5.82
provideniya,RU,1554238800,40,74,64.42,-173.23,28.4,15.66
komsomolskiy,RU,1554240724,88,87,67.55,63.78,23.77,14.47
yurla,RU,1554240902,0,69,59.33,54.32,18.55,2.62
camacha,PT,1554238800,40,82,33.08,-16.33,60.8,23.04
belyy,RU,1554240903,0,71,55.83,32.94,24.67,2.95
menongue,AO,1554240903,0,37,-14.66,17.68,69.4,3.4
kavieng,PG,1554240704,64,100,-2.57,150.8,83.8,10.22
ayan,TR,1554240677,76,56,40.67,33.6,34.21,1.28
amapa,HN,1554240614,20,49,15.09,-87.97,91,18.34
ahipara,NZ,1554240727,0,84,-35.17,173.16,64.63,9.78
kencong,ID,1554240904,48,94,-7.78,112.24,69.94,3.18
ulladulla,AU,1554240640,20,100,-35.36,150.48,59,5.41
tuatapere,NZ,1554240608,0,88,-46.13,167.69,48.99,4.63
cambre,ES,1554240850,40,66,43.29,-8.34,52,10.29
kailua,US,1554240641,20,69,21.39,-157.74,79,12.75
batesville,US,1554240679,1,32,35.77,-91.64,68,8.05
bandarbeyla,SO,1554240699,0,100,9.49,50.81,78.85,4.18
istok,PL,1554240850,0,54,52.85,23.44,42.01,1.01
verkhnevilyuysk,RU,1554240762,0,87,63.45,120.31,23.86,6.42
biak,ID,1554240676,88,100,-0.91,122.88,75.25,3.29
broome,GB,1554240730,48,93,52.47,1.45,39.99,8.05
lierneux,BE,1554240905,92,93,50.29,5.79,48,8.05
valguarnera caropepe,IT,1554240727,75,67,37.5,14.39,57.2,3.36
gazojak,TM,1554240908,0,71,41.19,61.4,50.95,7.54
harper,US,1554240891,1,33,30.3,-99.24,73.4,9.17
sorgun,TR,1554240909,0,86,39.81,35.19,30.34,5.75
sabinas,MX,1554240909,12,40,27.85,-101.13,71.11,8.88
uyuni,BO,1554240910,64,28,-20.46,-66.82,61.03,7.99
padang,ID,1554238800,40,94,-0.92,100.36,77,2.24
wajima,JP,1554240910,76,84,37.4,136.9,41.5,11.68
katsuura,JP,1554238800,40,86,33.93,134.5,39.2,5.82
inuvik,CA,1554238800,75,65,68.36,-133.71,6.8,13.87
cuencame,MX,1554240717,32,19,24.87,-103.7,78.22,8.43
cap malheureux,MU,1554240541,40,88,-19.98,57.61,77,9.44
iranshahr,IR,1554238800,0,36,27.21,60.69,75.2,4.63
sao gabriel da cachoeira,BR,1554235200,75,83,-0.13,-67.09,82.4,3.36
yangambi,CD,1554240912,12,82,0.77,24.47,77.05,3.74
geraldton,CA,1554239940,90,59,49.72,-86.95,37.4,14.99
kutum,SD,1554240913,0,32,14.2,24.66,63.1,7.2
marawi,PH,1554240685,76,89,8,124.29,75.99,1.01
bubaque,GW,1554240768,0,91,11.28,-15.83,82.45,16.04
bilibino,RU,1554240913,0,81,68.06,166.44,24.22,2.62
saint-philippe,CA,1554240711,40,42,45.36,-73.48,48.99,16.11
gurupi,BR,1554240914,0,74,-11.73,-49.07,83.53,3.06
brae,GB,1554238200,92,93,60.4,-1.35,39.2,24.16
manta,RO,1554240915,0,38,45.1,24.1,39.52,7.09
holoby,UA,1554239437,0,47,51.09,25.02,39,3
timizart,DZ,1554240915,56,87,36.8,4.25,47.35,1.5
solnechnyy,RU,1554240916,20,64,50.72,136.64,10.72,2.39
el paso,US,1554240856,1,10,31.76,-106.49,81,17.22
pimenta bueno,BR,1554240916,0,74,-11.68,-61.19,86.32,1.95
beyneu,KZ,1554240752,92,97,45.32,55.19,44.92,21.18
pimentel,BR,1554240749,0,78,-3.7,-45.5,83.8,2.39
navirai,BR,1554240917,92,85,-23.07,-54.19,77.59,3.4
barreiras,BR,1554240917,92,93,-12.14,-45,72.01,2.39
praia da vitoria,PT,1554240677,75,76,38.73,-27.07,57.2,20.29
ossora,RU,1554240918,92,94,59.24,163.07,31.33,20.74
san quintin,PH,1554240918,80,89,17.54,120.52,70.12,2.95
tashtagol,RU,1554240919,92,97,52.76,87.85,36.37,2.39
santiago de cao,PE,1554238800,75,88,-7.96,-79.24,69.8,12.75
marrakesh,MA,1554238800,40,72,31.63,-7.99,64.4,4.7
saint anthony,US,1554240671,90,62,43.97,-111.68,50,3.36
arlit,NE,1554240920,0,28,18.74,7.39,78.85,2.73
ponta do sol,BR,1554240667,12,75,-20.63,-46,75.07,2.17
matay,EG,1554240920,32,52,28.42,30.79,57.16,7.31
stokmarknes,NO,1554240644,40,95,68.56,14.91,39.2,6.93
velyka lepetykha,UA,1554240921,0,75,47.18,33.94,41.32,13.47
acapulco,MX,1554237780,5,58,16.86,-99.88,86,11.41
knysna,ZA,1554238800,0,93,-34.04,23.05,55.4,4.7
mayskiy,RU,1554238800,90,80,43.63,44.06,39.2,4.47
idah,NG,1554240922,0,67,7.11,6.73,83.62,6.98
tura,IN,1554240765,56,95,25.52,90.21,62.83,3.74
celestun,MX,1554240923,0,96,20.87,-90.4,77.95,18.5
suntar,RU,1554240923,0,83,62.16,117.65,24.04,6.31
taoudenni,ML,1554240740,36,21,22.68,-3.98,78.49,9.44
azul,AR,1554235680,40,61,-36.78,-59.86,78.8,11.41
ust-ilimsk,RU,1554240924,80,95,57.96,102.73,34.75,10.78
manavalakurichi,IN,1554238800,20,74,8.13,77.3,86,4.7
tiznit,MA,1554240714,68,64,29.7,-9.73,64.63,4.97
zhuji,CN,1554240773,20,100,29.72,120.23,53.01,1.05
cabinda,AO,1554240925,76,98,-5.56,12.19,84.07,7.43
omidiyeh,IR,1554238800,0,63,30.76,49.7,64.4,9.17
ambilobe,MG,1554240768,48,97,-13.19,49.05,72.28,1.16
san cristobal,EC,1554239880,75,68,-0.39,-78.55,66.2,11.41
olmos,PE,1554240926,80,62,-5.99,-79.75,82.27,3.96
sorland,NO,1554238200,40,93,67.67,12.69,37.4,6.93
teya,MX,1554238915,75,49,21.05,-89.07,91.4,19.46
havoysund,NO,1554238200,75,79,71,24.66,28.4,4.7
pokhara,NP,1554240927,0,81,28.21,83.99,43.93,1.61
plouzane,FR,1554240724,76,80,48.38,-4.62,43,8.05
mackenzie,CA,1554238800,1,36,55.34,-123.09,46.4,4.7
rocha,UY,1554240595,8,94,-34.48,-54.34,73.18,2.51
tecoanapa,MX,1554237780,5,58,16.99,-99.26,86,11.41
newcastle,ZA,1554240930,88,96,-27.76,29.92,57.07,2.62
luanda,AO,1554238800,75,83,-8.83,13.24,77,3.36
aklavik,CA,1554238800,75,65,68.22,-135.01,6.8,10.29
monterrey,MX,1554240690,90,77,25.67,-100.32,73.99,11.41
adrar,DZ,1554238800,0,23,27.87,-0.29,75.2,6.93
kushva,RU,1554240931,32,70,58.28,59.76,19.72,4.97
new glasgow,CA,1554240606,0,60,45.59,-62.65,46,7
lagoa,PT,1554240728,0,82,37.14,-8.45,59,4.7
boa vista,BR,1554238800,20,29,2.82,-60.67,98.6,9.17
kitui,KE,1554240933,48,92,-1.37,38.02,67.42,3.74
chokurdakh,RU,1554240736,68,77,70.62,147.9,5.05,3.18
dongsheng,CN,1554240705,80,87,29.72,112.52,52.03,12.91
hagen,DE,1554240933,64,87,51.36,7.47,51.01,10.29
coahuayana,MX,1554240694,0,21,18.62,-100.35,88.21,2.95
canon city,US,1554240935,92,100,39.46,-117.13,37.63,3.51
bulgan,MN,1554240935,0,62,48.81,103.53,23.32,2.62
faanui,PF,1554240936,20,100,-16.48,-151.75,84.52,11.12
anbu,CN,1554238800,40,100,23.45,116.68,64.4,4.47
morropon,PE,1554240936,92,72,-5.18,-79.97,75.52,2.73
dzhebariki-khaya,RU,1554240936,0,62,62.22,135.8,3.7,2.39
grants pass,US,1554240810,90,72,42.44,-123.33,63,1.72
nacala,MZ,1554240937,0,98,-14.56,40.69,79.84,12.8
isiro,CD,1554240937,12,90,2.77,27.62,71.47,2.39
saint-augustin,FR,1554240630,75,87,44.83,-0.61,52,5.82
mehamn,NO,1554238200,75,74,71.03,27.85,32,4.7
san carlos de bariloche,AR,1554238800,0,26,-41.13,-71.31,69.8,19.46
lehliu,RO,1554240913,0,35,44.48,26.81,46.99,6.93
gusau,NG,1554240939,0,21,12.17,6.66,82,9.1
aripuana,BR,1554240939,24,76,-9.17,-60.63,85.87,1.39
yulara,AU,1554238800,0,32,-25.24,130.99,55.4,6.93
tirumullaivasal,IN,1554240940,0,93,11.24,79.84,78.67,6.98
secunda,ZA,1554240685,80,94,-26.52,29.2,55.99,7.09
constitucion,MX,1554240616,75,6,23.99,-104.67,80.6,24.16
limanowa,PL,1554240890,0,45,49.71,20.42,45,11.41
nantucket,US,1554240906,1,52,41.28,-70.1,44.6,14.99
la palma,CO,1554240943,76,89,5.36,-74.39,71.92,1.95
tual,ID,1554240771,44,100,-5.67,132.75,81.55,17.49
honningsvag,NO,1554238200,75,79,70.98,25.97,30.2,4.7
xining,CN,1554240736,8,74,36.62,101.77,17.74,1.16
